"STATE","ST_CASE","VE_TOTAL","VE_FORMS","PVH_INVL","PEDS","PERNOTMVIT","PERMVIT","PERSONS","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","NHS","ROAD_FNC","ROUTE","TWAY_ID","TWAY_ID2","MILEPT","LATITUDE","LONGITUD","SP_JUR","HARM_EV","MAN_COLL","RELJCT1","RELJCT2","TYP_INT","REL_ROAD","WRK_ZONE","LGT_COND","WEATHER1","WEATHER2","WEATHER","SCH_BUS","RAIL","NOT_HOUR","NOT_MIN","ARR_HOUR","ARR_MIN","HOSP_HR","HOSP_MN","CF1","CF2","CF3","FATALS","DRUNK_DR"
48,482174,2,2,0,0,0,2,2,201,0,14,10,2011,6,2,20,0,6,4,"N SAM HOUSTON TOLLWAY         ","                              ",0,29.93751389,-95.47805,0,25,0,0,1,1,1,0,3,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,2,0
48,482175,1,1,0,0,0,1,1,371,0,15,10,2011,7,4,25,0,4,8,"FM 1053                       ","                              ",230,31.02641111,-102.81593056,0,38,0,0,1,1,4,0,2,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,1
48,482176,1,1,0,1,1,1,1,201,3280,16,10,2011,1,2,50,0,16,5,"S POST OAK RD                 ","                              ",0,29.64572222,-95.46346667,0,8,0,0,1,1,1,0,3,1,0,1,0,"0000000",88,88,88,88,88,88,23,0,0,1,0
48,482177,1,1,0,1,1,2,2,201,3280,16,10,2011,1,3,13,1,11,1,"I-45                          ","NEYLAND                       ",286,29.82623333,-95.38019167,0,18,0,0,1,1,4,1,3,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,1
48,482178,3,3,0,0,0,4,4,221,2780,16,10,2011,1,11,9,1,13,2,"US-377                        ","N TEMPLE HALL HWY             ",86,32.46372222,-97.71446944,0,12,6,0,2,3,1,0,1,1,0,1,0,"0000000",11,13,11,26,12,5,0,0,0,1,0
48,482179,1,1,0,1,1,1,1,437,0,16,10,2011,1,15,47,0,4,2,"US-87                         ","                              ",292,34.40726944,-101.75882778,0,9,0,0,1,1,1,0,1,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482180,2,2,0,0,0,2,2,113,4530,19,10,2011,4,11,34,1,11,7,"I-30                          ","MOTLEY DR                     ",227,32.81012222,-96.65513889,0,12,2,1,2,2,1,0,1,1,0,1,0,"0000000",11,36,11,42,11,59,0,0,0,1,1
48,482181,1,1,0,1,1,2,2,201,0,19,10,2011,4,7,15,0,6,4,"SKINNER RD                    ","CYPRESS ORCHARD LN            ",0,29.98376944,-95.68732778,0,8,0,0,3,3,1,0,1,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482182,1,1,0,0,0,1,1,283,0,19,10,2011,4,16,56,0,5,8,"FM 469                        ","                              ",181,28.53534444,-99.08126667,0,1,0,0,1,1,1,0,1,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482183,2,2,0,0,0,2,2,297,0,19,10,2011,4,19,12,0,3,3,"SR-72                         ","                              ",88,28.464725,-98.20871944,0,12,2,0,1,1,1,0,1,2,0,2,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482184,2,2,0,0,0,6,6,25,0,20,10,2011,5,6,50,0,3,3,"SR-72                         ","                              ",67,28.67325556,-98.00208056,0,12,2,0,1,1,1,0,4,1,0,1,0,"0000000",7,14,7,37,8,10,0,0,0,1,0
48,482185,1,1,0,0,0,1,1,281,0,20,10,2011,5,18,15,0,5,8,"FM 3415                       ","                              ",47,31.15915,-98.40193333,0,59,0,0,1,1,4,0,1,1,0,1,0,"0000000",18,31,19,9,19,45,0,0,0,1,0
